"","x"
"168","YHEA-SAQ-000B_2017"
"169","CV_INCOME_FAMILY_2019"
"170","CV_MARSTAT_2019"
"171","CV_MARSTAT_COLLAPSED_2019"
"172","YHEA-100_2019"
"173","YHEA-SAQ-000B_2019"
"174","CVC_GRADES_REPEAT_EVER_2007_XRND"
"175","CVC_GRADE_SKIPPED_EVER_2007_XRND"
"176","CVC_SAT_MATH_SCORE_2007_XRND"
"177","CVC_SAT_VERBAL_SCORE_2007_XRND"
"178","CVC_ACT_SCORE_2007_XRND"
"179","CVC_TTL_JOB_TEEN2_XRND"
"180","CVC_TTL_JOB_ADULT2_ET_XRND"
"181","CVC_TTL_JOB_ADULT2_ALL_XRND"
"182","CVC_WKSWK_TEEN2_XRND"
"183","CVC_WKSWK_ADULT2_ET_XRND"
"184","CVC_WKSWK_ADULT2_ALL_XRND"
"185","CVC_FIRST_COHAB_MONTH_XRND"
"186","CVC_FIRST_MARRY_MONTH_XRND"
"187","CVC_HGC_EVER_XRND"
"188","CVC_HIGHEST_DEGREE_EVER_XRND"
"189","CVC_SCH_ATTEND_EVER_XRND"
"190","CVC_GED_XRND"
"191","CVC_HS_DIPLOMA_XRND"
"192","CVC_AA_DEGREE_XRND"
"193","CVC_BA_DEGREE_XRND"
"194","CVC_PROF_DEGREE_XRND"
"195","CVC_PHD_DEGREE_XRND"
"196","CVC_MA_DEGREE_XRND"
"197","CVC_HS_LEFT_DATE_XRND"
"198","CVC_HS_LEFT_HGC_XRND"
"199","CVC_HS_LEFT_HGA_XRND"
"200","CVC_FIRST_MARRY_END_XRND"
