"R0000100","R0536300","R0536401","R0536402","R1235800","R1482600","Z9073400"
200,1,8,1980,1,4,-4
201,2,12,1983,1,4,-4
202,1,1,1982,1,4,-4
203,2,1,1984,1,4,1
204,2,5,1981,1,4,-4
205,2,11,1983,1,4,-4
206,1,2,1982,1,4,-4
207,2,11,1981,1,4,-4
208,2,3,1984,1,4,-4
209,1,6,1983,1,2,-4
210,1,5,1984,1,2,-4
211,2,6,1980,1,2,-4
212,1,2,1980,1,2,-4
213,2,4,1982,1,2,-4
214,2,11,1982,1,2,-4
215,1,5,1981,1,2,-4
216,2,6,1980,1,2,-4
217,2,11,1982,1,2,-4
218,1,9,1983,1,2,-4
219,1,3,1982,1,3,-4
220,1,3,1984,1,4,-4
221,2,9,1984,1,4,1
222,1,1,1981,1,2,-4
223,1,1,1981,1,2,-4
224,2,10,1982,1,4,-4
225,1,10,1980,1,4,-4
226,2,3,1981,1,1,-4
227,2,1,1980,1,3,-4
228,1,1,1984,1,4,-4
229,2,2,1984,1,4,-4
230,1,5,1984,1,2,-4
231,1,11,1980,1,2,1
232,1,6,1984,1,2,-4
233,1,12,1980,1,2,-4
234,2,8,1983,1,2,-4
235,2,8,1981,1,4,-4
236,2,12,1984,1,2,-4
237,1,3,1983,1,4,-4
238,2,8,1981,1,4,-4
239,1,9,1980,1,4,-4
240,2,4,1983,1,4,-4
241,2,2,1983,1,2,-4
242,1,6,1984,1,2,-4
243,2,2,1983,1,3,-4
244,1,3,1983,1,2,-4
245,2,7,1984,1,4,-4
246,1,10,1980,1,2,-4
247,1,3,1982,1,4,-4
248,2,9,1983,1,4,-4
249,1,8,1981,1,4,-4
250,1,9,1981,1,4,-4
251,1,4,1982,1,2,-4
252,2,7,1984,1,2,-4
253,2,9,1984,1,4,-4
254,1,8,1981,1,4,-4
255,2,7,1983,1,4,1
256,1,8,1980,1,4,-4
257,1,5,1984,1,4,-4
258,1,11,1982,1,4,-4
259,1,12,1981,1,4,-4
260,1,12,1980,1,1,-4
261,1,4,1983,1,1,-4
262,1,9,1980,1,1,-4
263,1,7,1983,1,1,-4
264,1,7,1982,1,4,-4
265,1,9,1983,1,2,-4
266,2,12,1980,1,4,-4
267,2,12,1980,1,4,-4
